epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,764.475,2.38395,3.42612,3.80034,0.1287,0.09594,0.0709,0.01987,2.76727,3.78668,4.06047,0.000663768,0.000663768,0.000663768
2,1570.01,2.17358,2.55931,3.06869,0.53057,0.22105,0.33847,0.11117,2.48738,3.38589,3.50112,0.00119872,0.00119872,0.00119872
3,2326.23,1.86195,2.07169,2.68912,0.61875,0.52399,0.48703,0.20456,1.78242,2.58662,2.57055,0.00160168,0.00160168,0.00160168
4,3046.44,1.76102,1.89592,2.53458,0.64048,0.58672,0.56758,0.23902,1.87918,1.73603,2.70505,0.001406,0.001406,0.001406
5,3662.29,1.6864,1.71307,2.43353,0.74407,0.60517,0.66781,0.35256,1.77148,1.69867,2.44072,0.001208,0.001208,0.001208
6,4215.96,1.62866,1.64648,2.36892,0.74564,0.61624,0.66478,0.3552,1.71191,1.74037,2.35675,0.00101,0.00101,0.00101
7,4760.67,1.58761,1.55466,2.31475,0.77338,0.67159,0.71581,0.36048,1.73191,1.53338,2.42166,0.000812,0.000812,0.000812
8,5392.8,1.56607,1.50413,2.27392,0.74614,0.6679,0.72974,0.39192,1.6502,1.49968,2.29059,0.000614,0.000614,0.000614
9,6021.37,1.52849,1.46202,2.24641,0.72964,0.6679,0.71147,0.39311,1.60266,1.61012,2.25167,0.000416,0.000416,0.000416
10,6653.99,1.47757,1.394,2.21338,0.75177,0.7048,0.75052,0.4056,1.63837,1.47784,2.26811,0.000218,0.000218,0.000218
